# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1588259.3578617196 128000 0 0 0 0 0 
3 138 10 346 346 1588259.3578617196 117391 0 0 0 0 10609 
5 154 22 451 451 1588259.3578617196 114890 0 0 0 0 13110 
7 156 40 543 543 1588259.3578617196 113182 0 0 0 0 14818 
9 125 36 558 558 1588259.3578617196 113155 0 0 0 0 14845 
11 123 48 614 614 1588259.3578617196 112781 0 0 0 0 15219 
13 124 50 679 679 1588259.3578617196 111902 0 0 0 0 16098 
15 168 2273 4093 4093 1588259.3578617196 111712 0 0 0 0 16288 
17 107 108 735 735 1588259.3578617196 112058 0 0 0 0 15942 
19 89 168 786 786 1588259.3578617196 111958 0 0 0 0 16042 
21 77 178 787 787 1588259.3578617196 111629 0 0 0 0 16371 
23 87 179 757 757 1588259.3578617196 112550 0 0 0 0 15450 
25 68 210 788 788 1588259.3578617196 112474 0 0 0 0 15526 
27 84 310 833 833 1588259.3578617196 111878 0 0 0 0 16122 
29 80 368 799 799 1588259.3578617196 112432 0 0 0 0 15568 
31 61 408 855 855 1588259.3578617196 112255 0 0 0 0 15745 
33 79 256 879 879 1588259.3578617196 112355 0 0 0 0 15645 
35 87 274 921 921 1588259.3578617196 111690 0 0 0 0 16310 
37 80 426 854 854 1588259.3578617196 112587 0 0 0 0 15413 
39 86 423 843 843 1588259.3578617196 112302 0 0 0 0 15698 
41 73 567 890 890 1588259.3578617196 112094 0 0 0 0 15906 
43 61 578 890 890 1588259.3578617196 112432 0 0 0 0 15568 
45 72 614 967 967 1588259.3578617196 111546 0 0 0 0 16454 
47 55 1012 989 989 1588259.3578617196 112161 0 0 0 0 15839 
49 80 2873 2963 2963 1588259.3578617196 111530 0 0 0 0 16470 
51 59 809 1087 1087 1588259.3578617196 111889 0 0 0 0 16111 
53 67 1056 1095 1095 1588259.3578617196 111248 0 0 0 0 16752 
55 53 996 1052 1052 1588259.3578617196 111766 0 0 0 0 16234 
57 68 1040 1068 1068 1588259.3578617196 110946 0 0 0 0 17054 
59 60 1008 1018 1018 1588259.3578617196 111491 0 0 0 0 16509 
61 65 1028 1046 1046 1588259.3578617196 111771 0 0 0 0 16229 
