# "Frame" "ClusterAnalysis.cluster_count" "ClusterAnalysis.largest_size" "WignerSeitz.interstitial_count" "WignerSeitz.vacancy_count" "DislocationAnalysis.cell_volume" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER"
1 0 0 0 0 1609956.0551360839 128000 0 0 0 0 0 
3 108 44 330 330 1609956.0551360839 119811 0 0 0 0 8189 
5 84 176 431 431 1609956.0551360839 119020 0 0 0 0 8980 
7 90 270 541 541 1609956.0551360839 117060 0 0 0 0 10940 
9 47 12426 6286 6286 1609956.0551360839 116605 0 0 0 0 11395 
11 65 543 711 711 1609956.0551360839 115880 0 0 0 0 12120 
13 67 768 830 830 1609956.0551360839 114628 0 0 0 0 13372 
15 54 1504 873 873 1609956.0551360839 113563 0 0 0 0 14437 
17 46 1716 967 967 1609956.0551360839 113223 0 0 0 0 14777 
19 42 2292 1253 1253 1609956.0551360839 112927 0 0 0 0 15073 
21 46 1993 1097 1097 1609956.0551360839 111994 0 0 0 0 16006 
23 42 2075 1108 1108 1609956.0551360839 111871 0 0 0 0 16129 
25 41 2878 1510 1510 1609956.0551360839 111427 0 0 0 0 16573 
27 31 2365 1248 1248 1609956.0551360839 110888 0 0 0 0 17112 
29 24 2625 1340 1340 1609956.0551360839 111479 0 0 0 0 16521 
31 36 2594 1345 1345 1609956.0551360839 110887 0 0 0 0 17113 
33 18 2851 1459 1459 1609956.0551360839 110895 0 0 0 0 17105 
35 35 3598 2035 2035 1609956.0551360839 109988 0 0 0 0 18012 
37 30 2745 1426 1426 1609956.0551360839 110105 0 0 0 0 17895 
39 28 2785 1432 1432 1609956.0551360839 109996 0 0 0 0 18004 
41 25 2967 1520 1520 1609956.0551360839 110223 0 0 0 0 17777 
43 29 2919 1502 1502 1609956.0551360839 109929 0 0 0 0 18071 
45 18 3225 1638 1638 1609956.0551360839 109823 0 0 0 0 18177 
47 21 3252 1737 1737 1609956.0551360839 109875 0 0 0 0 18125 
49 22 3196 1689 1689 1609956.0551360839 110540 0 0 0 0 17460 
51 26 3089 1577 1577 1609956.0551360839 109901 0 0 0 0 18099 
53 21 2978 1573 1573 1609956.0551360839 110187 0 0 0 0 17813 
55 19 3204 1664 1664 1609956.0551360839 110296 0 0 0 0 17704 
57 16 3195 1616 1616 1609956.0551360839 110598 0 0 0 0 17402 
59 12 3108 1573 1573 1609956.0551360839 110493 0 0 0 0 17507 
61 17 3114 1583 1583 1609956.0551360839 110395 0 0 0 0 17605 
